title,residential_complex,char_total_area,char_living_area,char_площадь кухни,char_floor_current,char_floor_total,char_completion_year,char_building_status,char_renovation,char_flat_тип_жилья,char_flat_общая_площадь,char_flat_жилая_площадь,char_flat_площадь_кухни,char_flat_высота_потолков,char_flat_санузел,char_flat_вид_из_окон,char_flat_отделка,char_building_количество_лифтов,char_building_тип_дома,char_building_пандус,district,building,metro_count,metro_names,metro_times,hc_developer,hc_class,hc_building_type,hc_parking,hc_complex_type,hc_advantages,developer_description,online_booking,views,char_flat_балкон/лоджия,char_building_парковка,hc_decoration_options
"Продается 2-комн. квартира, 55,63 м²",ЖК «Дубровский»,"55,63 м²","27,9 м²","15,2 м²",1,4,2027,Не сдан,С отделкой,Новостройка,"55,63 м²","27,9 м²","15,2 м²",,,,С отделкой,,Монолитно-кирпичный,,р-н Пушкинский,,3.0,"Купчино, Звездная, Шушары","24 мин., 25 мин., 27 мин.",КВС,Бизнес,Монолитно-кирпичный,Гостевая,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура",,True,"13 просмотров, нет за сегодня",,,"Чистовая, Предчистовая"
"Продается 2-комн. квартира, 57,72 м²",ЖК «Любоград»,"57,72 м²","25,3 м²","18,6 м²",1,4,2027,Не сдан,Чистовая,Новостройка,"57,72 м²","25,3 м²","18,6 м²","2,77 м",,,Чистовая,6 пассажирских,Монолитно-кирпичный,,р-н Петродворцовый,,3.0,"Юго-Западная, Проспект Ветеранов, Ленинский проспект","15 мин., 17 мин., 18 мин.",КВС,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,"Отделка, Внутренний двор",,True,"186 просмотров, 2 за сегодня",,,
"Продается 1-комн. квартира, 39,34 м²",ЖК «Титул в Московском»,"39,34 м²","13,3 м²",17 м²,5,11,2028,Не сдан,Чистовая,Новостройка,"39,34 м²","13,3 м²",17 м²,"2,77 м",,,Чистовая,"8 пассажирских, 8 грузовых",Монолитно-кирпичный,,р-н Московский,,3.0,"Московская, Ленинский проспект, Звездная","7 мин., 4 мин., 5 мин.",Setl Group,Комфорт,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"9 просмотров, 2 за сегодня",1 лоджия,,
"Продается 1-комн. квартира, 44,43 м²",ЖК «ORO by Akvilon (ОРО от Аквилон)»,"44,43 м²",,,3,17,2027,Не сдан,Без отделки,Новостройка,"44,43 м²",,,"2,85 м",,На улицу и двор,,,Монолитно-кирпичный,,р-н Московский,13ВА,3.0,"Звездная, Купчино, Московская","18 мин., 6 мин., 8 мин.",Группа Аквилон,Бизнес,Монолитно-кирпичный,Подземная,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа",,False,"1 просмотр, нет за сегодня",,,
"Продается 1-комн. квартира, 45,99 м²",ЖК «ORO by Akvilon (ОРО от Аквилон)»,"45,99 м²",,,2,17,2027,Не сдан,Без отделки,Новостройка,"45,99 м²",,,"2,85 м",,На улицу и двор,,"12 пассажирских, 3 грузовых",Монолитно-кирпичный,,р-н Московский,13ВА,3.0,"Звездная, Купчино, Московская","15 мин., 6 мин., 8 мин.",Группа Аквилон,Бизнес,Монолитно-кирпичный,Подземная,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа",,False,"1 просмотр, нет за сегодня",,,
"Продается 2-комн. квартира, 46,03 м²",ЖК «Аквилон All In 3.0»,"46,03 м²",,,9,12,2025,Не сдан,,Новостройка,"46,03 м²",,,"2,72 м",,,,11 грузовых,Монолитно-кирпичный,,р-н Пушкинский,,3.0,"Звездная, Купчино, Шушары","12 мин., 13 мин., 13 мин.",Группа Аквилон,Комфорт,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,False,"7 просмотров, 3 за сегодня",,,
"Продается 2-комн. квартира, 60 м²",ЖК «Клюква.Парк»,60 м²,,,5,12,2028,Не сдан,Без отделки,Новостройка,60 м²,,,"2,72 м",,,,"10 пассажирских, 10 грузовых",Монолитно-кирпичный,Есть,р-н Пушкинский,,3.0,"Звездная, Московская, Купчино","10 мин., 12 мин., 13 мин.",,,,,,,,False,"14 просмотров, 1 за сегодня",,,
"Продается 2-комн. квартира, 50,72 м²",ЖК «Старлайт»,"50,72 м²",,,21,25,2027,Не сдан,,Новостройка,"50,72 м²",,,"2,74 м",,,,"2 пассажирских, 8 грузовых",Монолитный,,р-н Красногвардейский,67,3.0,"Девяткино, Гражданский проспект, Академическая","22 мин., 6 мин., 10 мин.",ГК Лидер Групп,Комфорт,Монолитный,Подземная,Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа",,False,"63 просмотра, 3 за сегодня",,,
"Продается 1-комн. квартира, 40,52 м²",ЖК «Гранат»,"40,52 м²",,,1,13,2028,Не сдан,,Новостройка,"40,52 м²",,,"3,03 м",,,,,Монолитно-кирпичный,,р-н Фрунзенский,10к2Д,3.0,"Бухарестская, Международная, Волковская","16 мин., 4 мин., 6 мин.",Холдинг «РСТИ» (Росстройинвест),Комфорт,Монолитно-кирпичный,Подземная,Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,False,"64 просмотра, 3 за сегодня",,,
"Продается 3-комн. квартира, 78,73 м²",ЖК «Квартал Заречье»,"78,73 м²",,,1,9,2027,Не сдан,,Новостройка,"78,73 м²",,,"2,7 м",,,,5 грузовых,Монолитный,Есть,р-н Колпинский,,3.0,"Рыбацкое, Обухово, Пролетарская","18 мин., 21 мин., 22 мин.",СЗ ИнтерГрупп,Комфорт,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура",,False,"17 просмотров, нет за сегодня",,,
