title,residential_complex,char_total_area,char_living_area,char_площадь кухни,char_floor_current,char_floor_total,char_completion_year,char_building_status,char_renovation,char_flat_тип_жилья,char_flat_общая_площадь,char_flat_жилая_площадь,char_flat_площадь_кухни,char_flat_высота_потолков,char_flat_санузел,char_flat_балкон/лоджия,char_flat_вид_из_окон,char_flat_отделка,char_building_количество_лифтов,char_building_тип_дома,district,building,metro_count,metro_names,metro_times,hc_developer,hc_class,hc_building_type,hc_parking,hc_complex_type,hc_advantages,developer_description,online_booking,views,char_building_парковка,char_building_пандус,hc_decoration_options
"Продается 2-комн. квартира, 53,39 м²",ЖК «Квартал Заречье»,"53,39 м²",,,1,9,2027,Не сдан,,Новостройка,"53,39 м²",,,"2,7 м",,,,,5 грузовых,Монолитный,р-н Колпинский,,3.0,"Рыбацкое, Обухово, Пролетарская","18 мин., 21 мин., 22 мин.",СЗ ИнтерГрупп,Комфорт,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура",,False,"11 просмотров, нет за сегодня",,Есть,
"Продается 1-комн. квартира, 41,4 м²",ЖК «Пулково Лейк»,"41,4 м²","10,3 м²","17,3 м²",1,4,2026,Не сдан,Чистовая,Новостройка,"41,4 м²","10,3 м²","17,3 м²","2,6 м",1 совмещенный,,Во двор,Чистовая,"1 пассажирский, 8 грузовых",Панельный,р-н Пушкинский,,3.0,"Московская, Купчино, Звездная","22 мин., 20 мин., 21 мин.",,,,,,,,True,"48 просмотров, 1 за сегодня",Подземная,,
"Продается 2-комн. квартира, 53,8 м²",ЖК «Пейзажный квартал»,"53,8 м²","24,9 м²","15,6 м²",23,24,2026,Не сдан,Чистовая,Новостройка,"53,8 м²","24,9 м²","15,6 м²","2,55 м","1 совмещенный, 1 раздельный","1 лоджия, 1 балкон",На улицу и двор,Чистовая,"1 пассажирский, 1 грузовой",Панельный,р-н Красногвардейский,,3.0,"Академическая, Девяткино, Гражданский проспект","14 мин., 9 мин., 11 мин.",ЛСР. Недвижимость-Северо-Запад,Комфорт,Панельный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Внутренний двор, Парки, Архитектура",,True,"198 просмотров, 1 за сегодня",Многоуровневая,,
"Продается 2-комн. квартира, 56,7 м²",ЖК «Пейзажный квартал»,"56,7 м²","24,6 м²","18,2 м²",13,25,2026,Не сдан,Чистовая,Новостройка,"56,7 м²","24,6 м²","18,2 м²","2,55 м",1 раздельный,1 лоджия,На улицу и двор,Чистовая,"1 пассажирский, 1 грузовой",Панельный,р-н Красногвардейский,,3.0,"Академическая, Девяткино, Гражданский проспект","15 мин., 10 мин., 12 мин.",ЛСР. Недвижимость-Северо-Запад,Комфорт,Панельный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Внутренний двор, Парки, Архитектура",,True,"66 просмотров, 2 за сегодня",Наземная,,
"Продается студия, 30,79 м²",ЖК «Pulse Premier (Пульс Премьер)»,"30,79 м²","15,1 м²",,2,15,2026,Не сдан,Чистовая,Новостройка,"30,79 м²","15,1 м²",,"2,65 м",,,,Чистовая,18 пассажирских,Монолитно-кирпичный,р-н Невский,,3.0,"Проспект Большевиков, Новочеркасская, Улица Дыбенко","8 мин., 7 мин., 8 мин.",Setl Group,Комфорт,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура",,True,"84 просмотра, 8 за сегодня",,,
"Продается 1-комн. квартира, 36,6 м²",ЖК «Клюква.Парк»,"36,6 м²",,,2,12,2028,Не сдан,Без отделки,Новостройка,"36,6 м²",,,"2,72 м",,,,,"10 пассажирских, 10 грузовых",Монолитно-кирпичный,р-н Пушкинский,,3.0,"Звездная, Московская, Купчино","10 мин., 12 мин., 13 мин.",,,,,,,,False,"нет просмотров, нет за сегодня",,Есть,
"Продается студия, 25,77 м²",ЖК «Квартал бизнес-класса Б15»,"25,77 м²","11,5 м²",,14,17,2026,Не сдан,С отделкой,Новостройка,"25,77 м²","11,5 м²",,"2,73 м",,,,С отделкой,"11 пассажирских, 11 грузовых",Монолитно-кирпичный,р-н Калининский,Б15 жилой квартал,3.0,"Лесная, Выборгская, Площадь Ленина","5 мин., 7 мин., 7 мин.",КВС,Бизнес,Монолитно-кирпичный,Подземная,Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа",,True,"16 просмотров, нет за сегодня",,,"Чистовая, Предчистовая"
"Продается 1-комн. квартира, 39,85 м²",ЖК «Уют»,"39,85 м²",,,9,9,2026,Не сдан,,Новостройка,"39,85 м²",,,"2,8 м",,,,,3 грузовых,Монолитный,р-н Калининский,5к2,3.0,"Лесная, Площадь Ленина, Выборгская","7 мин., 8 мин., 9 мин.",,,,,,,,False,"66 просмотров, 8 за сегодня",,Есть,
"Продается студия, 24,97 м²",ЖК «Астра Континенталь»,"24,97 м²","18,2 м²",,1,12,2028,Не сдан,Чистовая,Новостройка,"24,97 м²","18,2 м²",,"2,77 м",,1 лоджия,,Чистовая,"23 пассажирских, 23 грузовых",Монолитно-кирпичный,р-н Невский,,3.0,"Елизаровская, Площадь Александра Невского, Обводный канал","16 мин., 7 мин., 8 мин.",Setl Group,Комфорт,Монолитно-кирпичный,Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"35 просмотров, 1 за сегодня",Подземная,,
"Продается студия, 20,6 м²",ЖК «Шкиперский 19»,"20,6 м²","6,1 м²","9,1 м²",4,8,2027,Не сдан,Без отделки,Новостройка,"20,6 м²","6,1 м²","9,1 м²","2,82 м",1 совмещенный,,На улицу,Без отделки,"1 пассажирский, 1 грузовой",Монолитный,р-н Василеостровский,к2,3.0,"Горный институт, Приморская, Василеостровская","5 мин., 5 мин., 7 мин.",ПИК,Бизнес,Монолитный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,False,"84 просмотра, 6 за сегодня",Открытая,,"Предчистовая, Без отделки"
