title,residential_complex,char_total_area,char_living_area,char_площадь кухни,char_floor_current,char_floor_total,char_completion_year,char_building_status,char_renovation,char_flat_тип_жилья,char_flat_общая_площадь,char_flat_жилая_площадь,char_flat_площадь_кухни,char_flat_высота_потолков,char_flat_вид_из_окон,char_flat_отделка,char_building_тип_дома,char_building_парковка,district,building,hc_developer,hc_class,hc_building_type,hc_parking,hc_complex_type,hc_decoration_options,hc_advantages,developer_description,online_booking,views,char_building_количество_лифтов,metro_count,metro_names,metro_times,char_flat_санузел,char_flat_балкон/лоджия,char_building_пандус
"Продается 2-комн. квартира, 63,7 м²",ЖК «Антверпен»,"63,7 м²",,,3,13,2029,Не сдан,Предчистовая,Новостройка,"63,7 м²",,,"2,7 м",,Предчистовая,Монолитно-кирпичный,,р-н Фрунзенский,,,,,,,,,,False,"41 просмотр, 2 за сегодня","2 пассажирских, 2 грузовых",3.0,"Купчино, Дунайская, Звездная","16 мин., 5 мин., 6 мин.",,,
"Продается 1-комн. квартира, 37,96 м²",ЖК «17/33 Петровский остров»,"37,96 м²","11,9 м²",,2,8,2026,Не сдан,Без отделки,Новостройка,"37,96 м²","11,9 м²",,3 м,,Без отделки,Монолитный,,р-н Петроградский,17литЗ,Element,Премиум,Монолитный,Гостевая,Апарт-комплекс,"Чистовая, Черновая, Без отделки","Парковка, Парки, Архитектура, Входная группа",,True,"170 просмотров, 1 за сегодня","20 пассажирских, 20 грузовых",3.0,"Спортивная, Чкаловская, Василеостровская","19 мин., 22 мин., 4 мин.",,,
"Продается студия, 20,25 м²",ЖК «НОВАЯ ЗЕМЛЯ»,"20,25 м²","9,5 м²",5 м²,5,17,2028,Не сдан,Предчистовая,Новостройка,"20,25 м²","9,5 м²",5 м²,"2,85 м",Во двор,Предчистовая,Монолитный,,р-н Василеостровский,,LEGENDA Intelligent Development,Комфорт,Монолитный,"Подземная, гостевая",Жилой комплекс,"Предчистовая, Без отделки","Парковка, Архитектура, Входная группа",,False,"60 просмотров, 9 за сегодня","1 пассажирский, 1 грузовой",3.0,"Горный институт, Приморская, Василеостровская","13 мин., 11 мин., 15 мин.",1 совмещенный,,Есть
"Продается 1-комн. квартира, 36,99 м²",ЖК «17 линия»,"36,99 м²","15,4 м²","11,7 м²",9,10,2028,Не сдан,Предчистовая,Новостройка,"36,99 м²","15,4 м²","11,7 м²","2,73 м",,Предчистовая,Монолитный,,р-н Василеостровский,6Б,,,,,,"Чистовая, Предчистовая",,,False,"29 просмотров, нет за сегодня",1 пассажирский,3.0,"Василеостровская, Приморская, Спортивная","22 мин., 21 мин., 23 мин.",1 совмещенный,1 балкон,
"Продается 2-комн. квартира, 64,66 м²",ЖК «17 линия»,"64,66 м²","26,4 м²","17,2 м²",3,10,2028,Не сдан,Предчистовая,Новостройка,"64,66 м²","26,4 м²","17,2 м²","2,73 м",,Предчистовая,Монолитный,,р-н Василеостровский,,,,,,,"Чистовая, Предчистовая",,,False,"48 просмотров, 1 за сегодня","7 пассажирских, 11 грузовых",3.0,"Василеостровская, Горный институт, Приморская","23 мин., 25 мин., 5 мин.",2 совмещенных,1 лоджия,
"Продается 2-комн. квартира, 44,91 м²",ЖК «BEREG.Курортный (БЕРЕГ.Курортный)»,"44,91 м²",16 м²,,1,5,2024,Не сдан,Предчистовая,Новостройка,"44,91 м²",16 м²,,"2,65 м",,Предчистовая,Монолитный,,р-н Курортный,18,,,,,,"Чистовая, Предчистовая",,,True,"124 просмотра, нет за сегодня","1 пассажирский, 1 грузовой",3.0,"Беговая, Комендантский проспект, Зенит","30 мин., 29 мин., 30 мин.",,,
"Продается 3-комн. квартира, 109,3 м²",ЖК «Антверпен»,"109,3 м²",,,11,13,2029,Не сдан,Предчистовая,Новостройка,"109,3 м²",,,"2,7 м",,Предчистовая,Монолитно-кирпичный,,р-н Фрунзенский,,,,,,,,,,False,"58 просмотров, нет за сегодня","2 пассажирских, 2 грузовых",3.0,"Купчино, Дунайская, Звездная","16 мин., 5 мин., 6 мин.",,,
"Продается 1-комн. квартира, 43,85 м²",ЖК «Башни Элемент»,"43,85 м²","12,3 м²",,3,20,2028,Не сдан,Предчистовая,Новостройка,"43,85 м²","12,3 м²",,"3,01 м",,Предчистовая,Монолитный,,р-н Василеостровский,,Element,Бизнес,Монолитный,"Подземная, гостевая",Жилой комплекс,,"Внутренний двор, Архитектура, Входная группа",,True,"54 просмотра, нет за сегодня","10 пассажирских, 10 грузовых",3.0,"Приморская, Горный институт, Василеостровская","10 мин., 12 мин., 14 мин.",,,
"Продается 2-комн. квартира, 63,45 м²",ЖК «Цивилизация на Неве»,"63,45 м²",41 м²,"7,2 м²",2,18,2027,Не сдан,Предчистовая,Новостройка,"63,45 м²",41 м²,"7,2 м²","2,97 м",Во двор,Предчистовая,Монолитный,,р-н Невский,,ЛСР. Недвижимость-Северо-Запад,Бизнес,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"127 просмотров, нет за сегодня","1 пассажирский, 1 грузовой",3.0,"Улица Дыбенко, Ломоносовская, Проспект Большевиков","6 мин., 6 мин., 8 мин.",2 совмещенных,,Есть
"Продается 2-комн. квартира, 68,77 м²",ЖК «Остров первых»,"68,77 м²","30,6 м²",,7,9,2029,Не сдан,Черновая,Новостройка,"68,77 м²","30,6 м²",,"2,85 м",,Черновая,Монолитно-кирпичный,Подземная,р-н Адмиралтейский,,ГК Fizika Development,Бизнес,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,"Без отделки, Черновая","Парковка, Внутренний двор, Архитектура, Входная группа",,True,"36 просмотров, нет за сегодня",17 пассажирских,3.0,"Садовая, Балтийская, Сенная площадь","6 мин., 6 мин., 6 мин.",,,Есть
"Продается 2-комн. квартира, 56,91 м²",ЖК «НОВАЯ ЗЕМЛЯ»,"56,91 м²","21,3 м²","21,4 м²",11,17,2028,Не сдан,Предчистовая,Новостройка,"56,91 м²","21,3 м²","21,4 м²","2,85 м",На улицу и двор,Предчистовая,Монолитный,,р-н Василеостровский,,LEGENDA Intelligent Development,Комфорт,Монолитный,"Подземная, гостевая",Жилой комплекс,"Предчистовая, Без отделки","Парковка, Архитектура, Входная группа",,False,"195 просмотров, нет за сегодня","1 пассажирский, 1 грузовой",3.0,"Приморская, Горный институт, Василеостровская","13 мин., 15 мин., 15 мин.","1 совмещенный, 1 раздельный",1 балкон,Есть
"Продается 2-комн. квартира, 70,84 м²",ЖК «Сампсониевский 32»,"70,84 м²",26 м²,"21,1 м²",5,7,2026,Не сдан,Предчистовая,Новостройка,"70,84 м²",26 м²,"21,1 м²","2,7 м",На улицу и двор,Предчистовая,Монолитный,,р-н Выборгский,,LEGENDA Intelligent Development,Бизнес,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,,Архитектура,,False,"179 просмотров, нет за сегодня",1 грузовой,3.0,"Выборгская, Площадь Ленина, Петроградская","11 мин., 22 мин., 5 мин.",1 раздельный,,
