title,residential_complex,char_total_area,char_living_area,char_площадь кухни,char_floor_current,char_floor_total,char_completion_year,char_building_status,char_renovation,char_flat_тип_жилья,char_flat_общая_площадь,char_flat_жилая_площадь,char_flat_площадь_кухни,char_flat_высота_потолков,char_flat_вид_из_окон,char_flat_отделка,char_building_тип_дома,char_building_парковка,district,building,hc_developer,hc_class,hc_building_type,hc_parking,hc_complex_type,hc_decoration_options,hc_advantages,developer_description,online_booking,views,char_building_количество_лифтов,metro_count,metro_names,metro_times,char_flat_санузел,char_flat_балкон/лоджия,char_building_пандус
"Продается 2-комн. квартира, 51,96 м²",ЖК «17 линия»,"51,96 м²","26,2 м²","11,9 м²",2,10,2028,Не сдан,Предчистовая,Новостройка,"51,96 м²","26,2 м²","11,9 м²","2,73 м",,Предчистовая,Монолитный,,р-н Василеостровский,,,,,,,"Чистовая, Предчистовая",,,False,"120 просмотров, нет за сегодня","7 пассажирских, 11 грузовых",3.0,"Василеостровская, Горный институт, Приморская","23 мин., 25 мин., 5 мин.",2 раздельных,1 балкон,
"Продается 1-комн. квартира, 54,8 м²",ЖК «Bakunina 33 (Бакунина 33)»,"54,8 м²","19,7 м²","30,1 м²",2,9,2025,Сдан,Без отделки,Новостройка,"54,8 м²","19,7 м²","30,1 м²",3 м,Во двор,Без отделки,Монолитный,,р-н Центральный,33,ГК ПСК,Бизнес,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,Без отделки,"Внутренний двор, Архитектура, Входная группа",,True,"437 просмотров, 1 за сегодня","1 пассажирский, 1 грузовой",3.0,"Площадь Восстания, Площадь Александра Невского, Маяковская","19 мин., 13 мин., 23 мин.",1 совмещенный,,
"Продается 2-комн. квартира, 96,8 м²",ЖК «Северная Корона»,"96,8 м²","36,4 м²","32,4 м²",2,8,2023,Сдан,Без отделки,Новостройка,"96,8 м²","36,4 м²","32,4 м²",3 м,На улицу и двор,Без отделки,Монолитный,,р-н Петроградский,31к1,ГК ПСК,Бизнес,Монолитный,Подземная,Жилой комплекс,Без отделки,Архитектура,,True,"24 просмотра, нет за сегодня",1 грузовой,3.0,"Петроградская, Чкаловская, Черная речка","9 мин., 16 мин., 24 мин.","1 совмещенный, 1 раздельный",,
"Продается студия, 23,2 м²",ЖК «Витебский парк»,"23,2 м²","11,8 м²",5 м²,6,12,2028,Не сдан,Предчистовая,Новостройка,"23,2 м²","11,8 м²",5 м²,"2,68 м",На улицу,Предчистовая,Монолитный,Открытая,р-н Фрунзенский,,ПИК,Комфорт,Монолитный,"Подземная, гостевая",Жилой комплекс,"Чистовая, Предчистовая","Парковка, Внутренний двор, Входная группа, Лифт",,True,"30 просмотров, нет за сегодня",2 пассажирских,3.0,"Волковская, Обводный канал, Бухарестская","23 мин., 7 мин., 7 мин.",1 совмещенный,,
"Продается 3-комн. квартира, 127,46 м²",ЖК «VI Квартал (6 квартал)»,"127,46 м²","59,7 м²","31,9 м²",2,3,2026,Не сдан,Без отделки,Новостройка,"127,46 м²","59,7 м²","31,9 м²",3 м,,Без отделки,Монолитно-кирпичный,,р-н Пушкинский,9,,,,,,Без отделки,,,False,"730 просмотров, нет за сегодня",1 пассажирский,3.0,"Купчино, Звездная, Шушары","17 мин., 18 мин., 20 мин.",,,Есть
"Продается 3-комн. квартира, 72,55 м²",ЖК «Морская миля»,"72,55 м²","37,2 м²","17,2 м²",23,23,2027,Не сдан,Чистовая,Новостройка,"72,55 м²","37,2 м²","17,2 м²","2,55 м",На улицу и двор,Чистовая,Монолитный,,р-н Красносельский,,ЛСР. Недвижимость-Северо-Запад,Комфорт,Монолитно-кирпичный,Подземная,Жилой комплекс,,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"2184 просмотра, 6 за сегодня","1 пассажирский, 1 грузовой",3.0,"Автово, Юго-Западная, Кировский завод","6 мин., 18 мин., 7 мин.",2 совмещенных,,
"Продается 2-комн. квартира, 53,92 м²",ЖК «Галерная гавань»,"53,92 м²","25,9 м²",16 м²,2,12,2028,Не сдан,Без отделки,Новостройка,"53,92 м²","25,9 м²",16 м²,"3,02 м",На улицу и двор,Без отделки,Монолитный,,р-н Василеостровский,Галерная гавань жилой комплекс,,,,,,Без отделки,,,False,"28 просмотров, нет за сегодня","1 пассажирский, 1 грузовой",3.0,"Горный институт, Приморская, Василеостровская","6 мин., 8 мин., 9 мин.",1 совмещенный,,Есть
"Продается студия, 30,81 м²",ЖК «Галерная гавань»,"30,81 м²","17,4 м²",5 м²,2,12,2028,Не сдан,Без отделки,Новостройка,"30,81 м²","17,4 м²",5 м²,"3,02 м",Во двор,Без отделки,Монолитный,,р-н Василеостровский,Галерная гавань жилой комплекс,,,,,,Без отделки,,,False,"38 просмотров, 1 за сегодня","1 пассажирский, 1 грузовой",3.0,"Горный институт, Приморская, Василеостровская","6 мин., 8 мин., 9 мин.",1 совмещенный,,Есть
"Продается 1-комн. квартира, 49,2 м²",ЖК «Bakunina 33 (Бакунина 33)»,"49,2 м²","15,8 м²","22,5 м²",6,9,2025,Сдан,Без отделки,Новостройка,"49,2 м²","15,8 м²","22,5 м²",3 м,Во двор,Без отделки,Монолитный,,р-н Центральный,33,ГК ПСК,Бизнес,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,Без отделки,"Внутренний двор, Архитектура, Входная группа",,True,"17 просмотров, нет за сегодня","2 пассажирских, 1 грузовой",3.0,"Площадь Александра Невского, Площадь Восстания, Маяковская","13 мин., 19 мин., 23 мин.",1 совмещенный,1 лоджия,
"Продается 1-комн. квартира, 33,9 м²",ЖК «Пулково Лейк»,"33,9 м²","10,3 м²","16,4 м²",3,4,2026,Не сдан,Чистовая,Новостройка,"33,9 м²","10,3 м²","16,4 м²","2,6 м",Во двор,Чистовая,Панельный,Подземная,р-н Пушкинский,,ЛСР. Недвижимость-Северо-Запад,Комфорт,Панельный,Гостевая,Жилой комплекс,,"Отделка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"323 просмотра, 1 за сегодня","1 пассажирский, 8 грузовых",3.0,"Московская, Купчино, Звездная","22 мин., 20 мин., 21 мин.",1 совмещенный,,
"Продается 3-комн. квартира, 73,88 м²",ЖК «Галерная гавань»,"73,88 м²","41,3 м²",14 м²,2,12,2028,Не сдан,Без отделки,Новостройка,"73,88 м²","41,3 м²",14 м²,"3,02 м",На улицу и двор,Без отделки,Монолитный,,р-н Василеостровский,Галерная гавань жилой комплекс,,,,,,Без отделки,,,False,"53 просмотра, нет за сегодня","1 пассажирский, 1 грузовой",3.0,"Горный институт, Приморская, Василеостровская","6 мин., 8 мин., 9 мин.",2 совмещенных,,Есть
"Продается 1-комн. квартира, 36,47 м²",ЖК «Галерная гавань»,"36,47 м²","10,1 м²","17,8 м²",2,12,2028,Не сдан,Без отделки,Новостройка,"36,47 м²","10,1 м²","17,8 м²","3,02 м",Во двор,Без отделки,Монолитный,,р-н Василеостровский,Галерная гавань жилой комплекс,,,,,,Без отделки,,,False,"26 просмотров, 1 за сегодня","1 пассажирский, 1 грузовой",3.0,"Горный институт, Приморская, Василеостровская","6 мин., 8 мин., 9 мин.",1 совмещенный,,Есть
"Продается 1-комн. квартира, 34,39 м²",ЖК «Морская миля»,"34,39 м²","11,7 м²","16,4 м²",2,23,2026,Не сдан,Чистовая,Новостройка,"34,39 м²","11,7 м²","16,4 м²","2,55 м",Во двор,Чистовая,Монолитный,,р-н Красносельский,,ЛСР. Недвижимость-Северо-Запад,Комфорт,Монолитно-кирпичный,Подземная,Жилой комплекс,,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"136 просмотров, 4 за сегодня","1 пассажирский, 1 грузовой",3.0,"Автово, Юго-Западная, Кировский завод","6 мин., 18 мин., 7 мин.",1 совмещенный,,
"Продается 2-комн. квартира, 61,43 м²",ЖК «Ассамблея»,"61,43 м²","29,6 м²","15,6 м²",2,12,2028,Не сдан,Без отделки,Новостройка,"61,43 м²","29,6 м²","15,6 м²",3 м,Во двор,Без отделки,Монолитный,,р-н Василеостровский,,,,,,,Без отделки,,,True,"267 просмотров, нет за сегодня","1 пассажирский, 1 грузовой",3.0,"Горный институт, Василеостровская, Приморская","16 мин., 22 мин., 5 мин.","1 совмещенный, 1 раздельный",1 лоджия,
"Продается 3-комн. квартира, 96,54 м²",ЖК «Ассамблея»,"96,54 м²","42,5 м²",25 м²,2,12,2028,Не сдан,Без отделки,Новостройка,"96,54 м²","42,5 м²",25 м²,3 м,На улицу и двор,Без отделки,Монолитный,Подземная,р-н Василеостровский,,,,,,,Без отделки,,,True,"6 просмотров, нет за сегодня","1 пассажирский, 1 грузовой",3.0,"Василеостровская, Горный институт, Приморская","22 мин., 16 мин., 5 мин.","2 совмещенных, 1 раздельный",1 лоджия,
"Продается студия, 22,12 м²",ЖК «Морская миля»,"22,12 м²","9,8 м²",,4,23,2027,Не сдан,Чистовая,Новостройка,"22,12 м²","9,8 м²",,"2,55 м",Во двор,Чистовая,Монолитный,,р-н Красносельский,,ЛСР. Недвижимость-Северо-Запад,Комфорт,Монолитно-кирпичный,Подземная,Жилой комплекс,,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"213 просмотров, 1 за сегодня","1 пассажирский, 1 грузовой",3.0,"Автово, Юго-Западная, Кировский завод","6 мин., 18 мин., 7 мин.",1 совмещенный,,
"Продается 1-комн. квартира, 31,33 м²",ЖК «Ассамблея»,"31,33 м²","11,3 м²","10,2 м²",4,12,2028,Не сдан,Без отделки,Новостройка,"31,33 м²","11,3 м²","10,2 м²",3 м,Во двор,Без отделки,Монолитный,,р-н Василеостровский,,,,,,,Без отделки,,,True,"730 просмотров, нет за сегодня","1 пассажирский, 1 грузовой",3.0,"Горный институт, Василеостровская, Приморская","16 мин., 22 мин., 5 мин.",1 совмещенный,,
"Продается 4-комн. квартира, 101,87 м²",ЖК «Галерная гавань»,"101,87 м²","61,5 м²","19,3 м²",2,12,2028,Не сдан,Без отделки,Новостройка,"101,87 м²","61,5 м²","19,3 м²","3,02 м",На улицу и двор,Без отделки,Монолитный,,р-н Василеостровский,Галерная гавань жилой комплекс,,,,,,Без отделки,,,False,"12 просмотров, нет за сегодня","1 пассажирский, 1 грузовой",3.0,"Горный институт, Приморская, Василеостровская","6 мин., 8 мин., 9 мин.",2 совмещенных,,Есть
"Продается 1-комн. квартира, 148,63 м²",ЖК «АСТРУМ»,"148,63 м²",,,6,6,2026,Не сдан,Предчистовая,Новостройка,"148,63 м²",,,"3,15 м",,Предчистовая,Монолитно-кирпичный,,р-н Петроградский,8,ПРОМСТРОЙКОМПЛЕКТ,Премиум,Монолитно-кирпичный,Подземная,Жилой комплекс,"Предчистовая, Черновая","Отделка, Парковка, Архитектура, Входная группа",,False,"1328 просмотров, 5 за сегодня",,3.0,"Крестовский остров, Чкаловская, Петроградская","10 мин., 24 мин., 6 мин.",,,Есть
"Продается 3-комн. квартира, 118,05 м²",ЖК «Клубный дом TALENTO»,"118,05 м²","29,3 м²","36,5 м²",7,8,2026,Не сдан,Без отделки,Новостройка,"118,05 м²","29,3 м²","36,5 м²","2,88 м",,Без отделки,Монолитно-кирпичный,Подземная,р-н Московский,30,ГК Fizika Development,Премиум,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,Без отделки,"Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"836 просмотров, 6 за сегодня",2 грузовых,3.0,"Московские ворота, Электросила, Фрунзенская","8 мин., 17 мин., 4 мин.",,,
"Продается 3-комн. квартира, 465,68 м²",ЖК «АСТРУМ»,"465,68 м²",,,6,6,2026,Не сдан,Предчистовая,Новостройка,"465,68 м²",,,"3,15 м",,Предчистовая,Монолитно-кирпичный,,р-н Петроградский,8,ПРОМСТРОЙКОМПЛЕКТ,Премиум,Монолитно-кирпичный,Подземная,Жилой комплекс,"Предчистовая, Черновая","Отделка, Парковка, Архитектура, Входная группа",,False,"388 просмотров, 11 за сегодня",,3.0,"Крестовский остров, Чкаловская, Петроградская","10 мин., 24 мин., 6 мин.",,,Есть
"Продается 3-комн. квартира, 74,37 м²",ЖК «Кронфорт.Центральный»,"74,37 м²","10,7 м²",,2,4,2026,Не сдан,Без отделки,Новостройка,"74,37 м²","10,7 м²",,"3,4 м",На улицу и двор,Без отделки,Монолитный,Подземная,р-н Кронштадтский,,ГК Алькор,Комфорт,Монолитный,"Подземная, гостевая",Жилой комплекс,"Чистовая, Предчистовая, Без отделки","Отделка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,False,"5347 просмотров, 4 за сегодня",,,,,,1 лоджия,
"Продается 2-комн. квартира, 99,9 м²",ЖК «Клубный дом Monodom Line (Монодом Лайн)»,"99,9 м²","45,1 м²","26,7 м²",3,7,2024,Сдан,Без отделки,Новостройка,"99,9 м²","45,1 м²","26,7 м²","2,74 м",Во двор,Без отделки,Монолитно-кирпичный,,р-н Василеостровский,56,ГК Sun Development,Бизнес,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,Без отделки,"Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,False,"64 просмотра, нет за сегодня",1 грузовой,3.0,"Василеостровская, Спортивная, Горный институт","8 мин., 14 мин., 23 мин.",2 совмещенных,,
"Продается студия, 37,75 м²",ЖК «Avant (Авант)»,"37,75 м²","25,8 м²",,2,9,2027,Не сдан,Черновая,Новостройка,"37,75 м²","25,8 м²",,"3,6 м",,Черновая,Монолитный,Подземная,р-н Петроградский,53,Холдинг AAG,Премиум,Монолитный,"Подземная, гостевая",Жилой комплекс,Черновая,"Внутренний двор, Архитектура, Входная группа",,False,"60 просмотров, нет за сегодня",,3.0,"Чкаловская, Спортивная, Крестовский остров","8 мин., 17 мин., 4 мин.",,,
"Продается 3-комн. квартира, 136,6 м²",ЖК «Клубный дом Monodom Line (Монодом Лайн)»,"136,6 м²","68,5 м²","26,6 м²",2,7,2024,Сдан,Без отделки,Новостройка,"136,6 м²","68,5 м²","26,6 м²","2,74 м",,Без отделки,Монолитно-кирпичный,,р-н Василеостровский,56,ГК Sun Development,Бизнес,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,Без отделки,"Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,False,"28 просмотров, 1 за сегодня",2 грузовых,3.0,"Василеостровская, Спортивная, Горный институт","8 мин., 14 мин., 23 мин.",2 совмещенных,,
"Продается 3-комн. квартира, 106,96 м²",ЖК «Avant (Авант)»,"106,96 м²",37 м²,"31,4 м²",5,9,2027,Не сдан,Черновая,Новостройка,"106,96 м²",37 м²,"31,4 м²","3,6 м",,Черновая,Монолитный,Подземная,р-н Петроградский,53,Холдинг AAG,Премиум,Монолитный,"Подземная, гостевая",Жилой комплекс,Черновая,"Внутренний двор, Архитектура, Входная группа",,False,"149 просмотров, 3 за сегодня",,3.0,"Чкаловская, Спортивная, Крестовский остров","8 мин., 17 мин., 4 мин.",,,
"Продается 2-комн. квартира, 93,4 м²",ЖК «Клубный дом Monodom Line (Монодом Лайн)»,"93,4 м²","45,3 м²","21,6 м²",2,7,2024,Сдан,Без отделки,Новостройка,"93,4 м²","45,3 м²","21,6 м²","2,74 м",,Без отделки,Монолитно-кирпичный,,р-н Василеостровский,56,ГК Sun Development,Бизнес,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,Без отделки,"Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,False,"75 просмотров, 3 за сегодня",1 грузовой,3.0,"Василеостровская, Спортивная, Горный институт","8 мин., 14 мин., 23 мин.",2 совмещенных,,
"Продается 1-комн. квартира, 38,17 м²",ЖК «Avant (Авант)»,"38,17 м²","27,4 м²","5,7 м²",3,5,2027,Не сдан,Черновая,Новостройка,"38,17 м²","27,4 м²","5,7 м²","3,6 м",,Черновая,Монолитный,Подземная,р-н Петроградский,53,Холдинг AAG,Премиум,Монолитный,"Подземная, гостевая",Жилой комплекс,Черновая,"Внутренний двор, Архитектура, Входная группа",,False,"79 просмотров, 2 за сегодня",,3.0,"Чкаловская, Спортивная, Крестовский остров","8 мин., 17 мин., 4 мин.",,,
"Продается 3-комн. квартира, 95,79 м²",ЖК «Клубный дом TALENTO»,"95,79 м²","48,3 м²",24 м²,3,12,2026,Не сдан,Без отделки,Новостройка,"95,79 м²","48,3 м²",24 м²,"2,88 м",,Без отделки,Монолитно-кирпичный,Подземная,р-н Московский,30,ГК Fizika Development,Премиум,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,Без отделки,"Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"985 просмотров, 9 за сегодня",2 грузовых,3.0,"Московские ворота, Электросила, Фрунзенская","8 мин., 17 мин., 4 мин.",,,
"Продается 2-комн. квартира, 72,3 м²",ЖК «Клубный дом TALENTO»,"72,3 м²","27,3 м²",31 м²,5,8,2026,Не сдан,Без отделки,Новостройка,"72,3 м²","27,3 м²",31 м²,"2,88 м",,Без отделки,Монолитно-кирпичный,Подземная,р-н Московский,30,ГК Fizika Development,Премиум,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,Без отделки,"Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"433 просмотра, 1 за сегодня",2 грузовых,3.0,"Московские ворота, Электросила, Фрунзенская","8 мин., 17 мин., 4 мин.",,,
"Продается 1-комн. квартира, 56,84 м²",ЖК «Клубный дом TALENTO»,"56,84 м²","15,6 м²","25,9 м²",4,12,2026,Не сдан,Без отделки,Новостройка,"56,84 м²","15,6 м²","25,9 м²","2,88 м",,Без отделки,Монолитно-кирпичный,Подземная,р-н Московский,30,ГК Fizika Development,Премиум,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,Без отделки,"Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"105 просмотров, нет за сегодня",2 грузовых,3.0,"Московские ворота, Электросила, Фрунзенская","8 мин., 17 мин., 4 мин.",,,
"Продается студия, 41,79 м²",ЖК «Клубный дом TALENTO»,"41,79 м²","35,5 м²",,4,12,2026,Не сдан,Без отделки,Новостройка,"41,79 м²","35,5 м²",,"2,88 м",,Без отделки,Монолитно-кирпичный,Подземная,р-н Московский,30,ГК Fizika Development,Премиум,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,Без отделки,"Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"419 просмотров, 7 за сегодня",2 грузовых,3.0,"Московские ворота, Электросила, Фрунзенская","8 мин., 17 мин., 4 мин.",,,
"Продается 2-комн. квартира, 131,75 м²",ЖК «АСТРУМ»,"131,75 м²",,,2,6,2026,Не сдан,Предчистовая,Новостройка,"131,75 м²",,,"3,15 м",,Предчистовая,Монолитно-кирпичный,,р-н Петроградский,8,ПРОМСТРОЙКОМПЛЕКТ,Премиум,Монолитно-кирпичный,Подземная,Жилой комплекс,"Предчистовая, Черновая","Отделка, Парковка, Архитектура, Входная группа",,False,"122 просмотра, 5 за сегодня",,3.0,"Крестовский остров, Чкаловская, Петроградская","10 мин., 24 мин., 6 мин.",,,Есть
"Продается 2-комн. квартира, 58,1 м²",ЖК «Моисеенко 10»,"58,1 м²","24,8 м²",,8,10,2028,Не сдан,Под ключ,Новостройка,"58,1 м²","24,8 м²",,"3,2 м",,Под ключ,Монолитно-кирпичный,Подземная,р-н Центральный,10,ГК Fizika Development,Премиум,Монолитно-кирпичный,Подземная,Жилой комплекс,"Под ключ, Чистовая, Предчистовая, Без отделки, Черновая","Отделка, Парковка, Архитектура, Входная группа, Лифт",,True,"38 просмотров, 1 за сегодня",,3.0,"Площадь Восстания, Чернышевская, Площадь Александра Невского","22 мин., 5 мин., 5 мин.",,,Есть
"Продается 3-комн. квартира, 99,21 м²",ЖК «Avant (Авант)»,"99,21 м²","46,8 м²","27,5 м²",5,8,2027,Не сдан,Черновая,Новостройка,"99,21 м²","46,8 м²","27,5 м²","2,98 м",,Черновая,Монолитный,Подземная,р-н Петроградский,53,Холдинг AAG,Премиум,Монолитный,"Подземная, гостевая",Жилой комплекс,Черновая,"Внутренний двор, Архитектура, Входная группа",,False,"59 просмотров, 4 за сегодня",,3.0,"Чкаловская, Спортивная, Крестовский остров","8 мин., 17 мин., 4 мин.",,,
"Продается 3-комн. квартира, 124,6 м²",ЖК «Моисеенко 10»,"124,6 м²","55,6 м²",,4,6,2028,Не сдан,Без отделки,Новостройка,"124,6 м²","55,6 м²",,"3,2 м",,Без отделки,Монолитно-кирпичный,Подземная,р-н Центральный,,ГК Fizika Development,Премиум,Монолитно-кирпичный,Подземная,Жилой комплекс,"Под ключ, Чистовая, Предчистовая, Без отделки, Черновая","Отделка, Парковка, Архитектура, Входная группа, Лифт",,True,"5936 просмотров, 1 за сегодня",4 пассажирских,3.0,"Площадь Восстания, Чернышевская, Площадь Александра Невского","22 мин., 5 мин., 5 мин.",,,Есть
"Продается 2-комн. квартира, 76,2 м²",ЖК «Моисеенко 10»,"76,2 м²","28,6 м²",,8,10,2028,Не сдан,Под ключ,Новостройка,"76,2 м²","28,6 м²",,"3,2 м",,Под ключ,Монолитно-кирпичный,Подземная,р-н Центральный,10,ГК Fizika Development,Премиум,Монолитно-кирпичный,Подземная,Жилой комплекс,"Под ключ, Чистовая, Предчистовая, Без отделки, Черновая","Отделка, Парковка, Архитектура, Входная группа, Лифт",,True,"127 просмотров, 2 за сегодня",,3.0,"Площадь Восстания, Чернышевская, Площадь Александра Невского","22 мин., 5 мин., 5 мин.",,,Есть
"Продается 3-комн. квартира, 135,5 м²",ЖК «АСТРУМ»,"135,5 м²",,,1,6,2026,Не сдан,Предчистовая,Новостройка,"135,5 м²",,,"3,15 м",,Предчистовая,Монолитно-кирпичный,,р-н Петроградский,8,ПРОМСТРОЙКОМПЛЕКТ,Премиум,Монолитно-кирпичный,Подземная,Жилой комплекс,"Предчистовая, Черновая","Отделка, Парковка, Архитектура, Входная группа",,False,"539 просмотров, 1 за сегодня",,3.0,"Крестовский остров, Чкаловская, Петроградская","10 мин., 24 мин., 6 мин.",,,Есть
"Продается 3-комн. квартира, 93,21 м²",ЖК «Avant (Авант)»,"93,21 м²",42 м²,"20,2 м²",2,8,2027,Не сдан,Черновая,Новостройка,"93,21 м²",42 м²,"20,2 м²","2,98 м",,Черновая,Монолитный,Подземная,р-н Петроградский,53,Холдинг AAG,Премиум,Монолитный,"Подземная, гостевая",Жилой комплекс,Черновая,"Внутренний двор, Архитектура, Входная группа",,False,"68 просмотров, 4 за сегодня",,3.0,"Чкаловская, Спортивная, Крестовский остров","8 мин., 17 мин., 4 мин.",,,
"Продается 2-комн. квартира, 71,28 м²",ЖК «Клубный дом TALENTO»,"71,28 м²","32,8 м²","25,3 м²",6,12,2026,Не сдан,Без отделки,Новостройка,"71,28 м²","32,8 м²","25,3 м²","2,88 м",,Без отделки,Монолитно-кирпичный,Подземная,р-н Московский,30,ГК Fizika Development,Премиум,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,Без отделки,"Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"183 просмотра, 1 за сегодня",2 грузовых,3.0,"Московские ворота, Электросила, Фрунзенская","8 мин., 17 мин., 4 мин.",,,
"Продается 3-комн. квартира, 90,62 м²",ЖК «Ранта Резиденс (Ranta Residence)»,"90,62 м²","37,2 м²",,3,4,2026,Не сдан,Предчистовая,Новостройка,"90,62 м²","37,2 м²",,3 м,,Предчистовая,Монолитно-кирпичный,,р-н Курортный,57,LAR Development,Бизнес,Монолитно-кирпичный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Чистовая, Предчистовая","Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"938 просмотров, нет за сегодня","2 пассажирских, 2 грузовых",,,,3 совмещенных,1 лоджия,
"Продается 2-комн. квартира, 65,58 м²",ЖК «Avant (Авант)»,"65,58 м²","22,1 м²","13,4 м²",3,9,2027,Не сдан,Черновая,Новостройка,"65,58 м²","22,1 м²","13,4 м²","3,6 м",,Черновая,Монолитный,Подземная,р-н Петроградский,53,Холдинг AAG,Премиум,Монолитный,"Подземная, гостевая",Жилой комплекс,Черновая,"Внутренний двор, Архитектура, Входная группа",,False,"13 просмотров, 1 за сегодня",,3.0,"Чкаловская, Спортивная, Крестовский остров","8 мин., 17 мин., 4 мин.",,,
"Продается 2-комн. квартира, 65,9 м²",ЖК «Моисеенко 10»,"65,9 м²","30,9 м²",,6,10,2028,Не сдан,Черновая,Новостройка,"65,9 м²","30,9 м²",,"3,2 м",,Черновая,Монолитно-кирпичный,Подземная,р-н Центральный,,ГК Fizika Development,Премиум,Монолитно-кирпичный,Подземная,Жилой комплекс,"Под ключ, Чистовая, Предчистовая, Без отделки, Черновая","Отделка, Парковка, Архитектура, Входная группа, Лифт",,True,"801 просмотр, нет за сегодня",,3.0,"Площадь Восстания, Чернышевская, Площадь Александра Невского","22 мин., 5 мин., 5 мин.",,,Есть
"Продается 3-комн. квартира, 101,47 м²",ЖК «Avant (Авант)»,"101,47 м²","46,4 м²","26,7 м²",8,9,2027,Не сдан,Черновая,Новостройка,"101,47 м²","46,4 м²","26,7 м²","3,6 м",,Черновая,Монолитный,Подземная,р-н Петроградский,53,Холдинг AAG,Премиум,Монолитный,"Подземная, гостевая",Жилой комплекс,Черновая,"Внутренний двор, Архитектура, Входная группа",,False,"80 просмотров, 4 за сегодня",,3.0,"Чкаловская, Спортивная, Крестовский остров","8 мин., 17 мин., 4 мин.",,,
"Продается 2-комн. квартира, 128,24 м²",ЖК «АСТРУМ»,"128,24 м²",,,4,6,2026,Не сдан,Предчистовая,Новостройка,"128,24 м²",,,"3,15 м",,Предчистовая,Монолитно-кирпичный,,р-н Петроградский,8,ПРОМСТРОЙКОМПЛЕКТ,Премиум,Монолитно-кирпичный,Подземная,Жилой комплекс,"Предчистовая, Черновая","Отделка, Парковка, Архитектура, Входная группа",,False,"20 просмотров, нет за сегодня",,3.0,"Крестовский остров, Чкаловская, Петроградская","10 мин., 24 мин., 6 мин.",,,Есть
"Продается 1-комн. квартира, 48,94 м²",ЖК «Avant (Авант)»,"48,94 м²","13,9 м²","18,1 м²",3,9,2027,Не сдан,Черновая,Новостройка,"48,94 м²","13,9 м²","18,1 м²","3,6 м",,Черновая,Монолитный,Подземная,р-н Петроградский,53,Холдинг AAG,Премиум,Монолитный,"Подземная, гостевая",Жилой комплекс,Черновая,"Внутренний двор, Архитектура, Входная группа",,False,"10 просмотров, нет за сегодня",,3.0,"Чкаловская, Спортивная, Крестовский остров","8 мин., 17 мин., 4 мин.",,,
"Продается 2-комн. квартира, 51,7 м²",ЖК «Моисеенко 10»,"51,7 м²","26,1 м²",,3,10,2028,Не сдан,Черновая,Новостройка,"51,7 м²","26,1 м²",,"3,2 м",,Черновая,Монолитно-кирпичный,Подземная,р-н Центральный,,ГК Fizika Development,Премиум,Монолитно-кирпичный,Подземная,Жилой комплекс,"Под ключ, Чистовая, Предчистовая, Без отделки, Черновая","Отделка, Парковка, Архитектура, Входная группа, Лифт",,True,"686 просмотров, 1 за сегодня",,3.0,"Площадь Восстания, Чернышевская, Площадь Александра Невского","22 мин., 5 мин., 5 мин.",,,Есть
"Продается 2-комн. квартира, 60,36 м²",ЖК «Ранта Резиденс (Ranta Residence)»,"60,36 м²","25,5 м²",,2,4,2026,Не сдан,Предчистовая,Новостройка,"60,36 м²","25,5 м²",,,Во двор,Предчистовая,Монолитно-кирпичный,,р-н Курортный,,LAR Development,Бизнес,Монолитно-кирпичный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Чистовая, Предчистовая","Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"108 просмотров, нет за сегодня","3 пассажирских, 3 грузовых",,,,,"1 лоджия, 1 балкон",
